respondent_id,survey_year,region,province,sex,age,civil_status,education_level,years_of_schooling,employment_status,occupation_type,monthly_income_php,household_size,num_children,housing_type,water_source,toilet_facility,electricity_source,internet_access,health_insurance,food_insecurity_score,bmi,mental_health_score,dist_to_health_facility_km,received_gov_aid,gov_aid_amount_php
PH-002018,2022,Region III,Region III Province,Male,40,Separated/Annulled,College,15,Employed,None/Informal,22405.0,5,4,Owned - Concrete,Communal Faucet,Pit Latrine,Meralco/Electric Coop,None,PhilHealth Only,2,23.5,15.0,7.3,0,0
PH-002019,2018,Region VII,Cebu,Female,29,Live-in,College,17,Employed,Education,33709.0,3,1,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,16.5,0.0,3.3,1,1000
PH-002020,2023,Region V,Region V Province,Male,22,Live-in,Elementary,6,Employed,Government,29394.0,3,0,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,4,23.6,8.0,0.7,0,0
PH-002021,2018,Region IV-B,Region IV-B Province,Female,28,Married,High School,11,Retired,Transport/Logistics,10346.0,2,2,Rented,Shallow Well,Shared Toilet,Solar,None,PhilHealth Only,2,23.3,4.0,10.6,0,0
PH-002022,2018,Region XI,Davao de Oro,Female,34,Live-in,Vocational/Tech,14,Employed,Manufacturing,12905.0,6,0,Rented,Piped/NAWASA,Pit Latrine,None,Mobile Data Only,PhilHealth Only,3,16.3,1.0,5.6,1,2000
PH-002023,2018,Region XI,Davao del Norte,Female,43,Live-in,College,17,Self-Employed,Retail/Trade,-999.0,4,1,Rented,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Both,None,1,21.5,5.0,8.2,0,0
PH-002024,2021,CARAGA,CARAGA Province,Female,39,Married,College,17,Employed,Agriculture/Fishing,8452.0,5,1,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,PhilHealth + HMO,2,,16.0,18.5,0,0
PH-002025,2019,Region VI,Region VI Province,Female,24,Widowed,Elementary,8,Self-Employed,Transport/Logistics,,5,3,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,23.7,2.0,1.4,1,1500
PH-002026,2018,CARAGA,CARAGA Province,Male,44,Live-in,Elementary,7,Employed,None/Informal,54926.0,4,3,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,21.8,9.0,22.8,0,0
PH-002027,2018,CAR,CAR Province,Male,34,Married,College,15,Student,None/Informal,0.0,7,0,Owned - Concrete,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,HMO Only,4,24.9,6.0,12.6,0,0
PH-002028,2018,Region V,Region V Province,Male,15,Separated/Annulled,Elementary,5,Employed,Agriculture/Fishing,21336.0,5,4,Shared/Rent-free,Piped/NAWASA,Shared Toilet,None,None,HMO Only,2,21.1,5.0,7.7,1,2000
PH-002029,2020,Region IV-B,Region IV-B Province,Female,38,Single,No Formal Education,0,Self-Employed,Agriculture/Fishing,17714.0,5,2,Shared/Rent-free,Piped/NAWASA,Pit Latrine,Generator,Broadband,HMO Only,3,21.6,7.0,3.8,0,0
PH-002030,2022,CAR,CAR Province,Female,17,Widowed,Elementary,5,Self-Employed,Government,29076.0,5,2,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Both,PhilHealth + HMO,2,18.6,5.0,9.6,0,0
PH-002031,2022,Region IX,Region IX Province,Male,25,Widowed,High School,10,Employed,Healthcare,22097.0,5,4,Rented,Bottled/Delivered,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,3,,7.0,0.8,0,0
PH-002032,2020,Region IV-B,Region IV-B Province,Female,34,Live-in,College,16,Underemployed,Government,13768.0,9,1,Informal Settler,Shallow Well,Water-sealed/Flush,None,None,HMO Only,3,24.4,3.0,8.4,0,0
PH-002033,2023,Region IX,Region IX Province,Male,44,Single,College,16,Student,None/Informal,0.0,6,0,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,5,18.6,10.0,11.6,1,500
PH-002034,2023,Region II,Region II Province,Female,23,Live-in,Vocational/Tech,12,Student,None/Informal,0.0,3,2,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,None,Broadband,None,3,18.0,8.0,1.8,0,0
