transaction_id,order_date,year,month,quarter,store_id,store_format,region,sales_channel,employee_id,customer_id,customer_segment,category,subcategory,product_id,supplier,base_price_php,unit_cost_php,discount_pct,selling_price_php,quantity_sold,gross_revenue_php,cogs_php,gross_profit_php,gross_margin_pct,shipping_cost_php,delivery_days,promo_type,payment_method,return_flag,return_reason,stock_level,reorder_point,stockout_flag,customer_rating,nps_score,loyalty_points_earned,marketing_spend_php
TXN-100000,2022-07-03,2022,7,Q3,STR-113,Express,Iloilo,Website,EMP-1092,CUST-19640,Regular,Toys & Games,Outdoor Toys,PRD-1174,Supplier_D,1568.13,1094.0,50,784.07,2,1568.14,2188.0,-619.86,-39.53,57.86,5,Flash Sale,Debit Card,0,None,250,32,0,5.0,5.0,15,330.1
TXN-100001,2023-07-06,2023,7,Q3,STR-111,Express,Cebu,Mobile App,EMP-1068,CUST-11324,Churned,Groceries,Produce,PRD-1013,Supplier_F,311.49,144.53,5,295.92,2,591.84,289.06,302.78,51.16,297.66,3,Percent Discount,Bank Transfer,0,None,217,33,0,3.3,3.0,5,1.37
TXN-100002,2024-05-08,2024,5,Q2,STR-104,Express,Davao,Third-Party Platform,EMP-1039,CUST-10092,Churned,Groceries,Snacks,PRD-1051,Supplier_O,3847.51,2167.04,50,1923.76,1,1923.76,2167.04,-243.28,-12.65,173.54,2,Buy1Get1,GCash,1,Size Issue,323,25,0,3.5,2.0,19,528.87
TXN-100003,2022-11-05,2022,11,Q4,STR-109,Kiosk,Batangas,Mobile App,EMP-1022,CUST-12910,At-Risk,Electronics,Laptops,PRD-1081,Supplier_M,2532.09,1537.8,0,2532.09,5,5064.18,3075.6,1988.58,39.27,73.4,2,None,BuyNow PayLater,0,None,60,29,0,3.7,3.0,50,83.91
TXN-100004,2022-04-08,2022,4,Q2,STR-110,Online,Pampanga,In-Store,EMP-1051,,New,Automotive,Parts,PRD-1009,Supplier_O,2369.64,1274.11,0,2369.64,1,2369.64,1274.11,1095.53,46.23,0.0,0,None,Debit Card,0,None,193,45,0,2.8,5.0,23,84.68
TXN-100005,2023-10-05,2023,10,Q4,STR-107,Kiosk,Laguna,Website,EMP-1049,CUST-14855,At-Risk,Sports,Outdoors,PRD-1107,Supplier_O,1094.92,704.53,0,1094.92,3,2189.84,1409.06,780.78,35.65,73.8,10,None,BuyNow PayLater,0,None,364,63,0,4.2,1.0,21,26.52
TXN-100006,2022-11-23,2022,11,Q4,STR-119,Online,Cagayan de Oro,Mobile App,EMP-1085,CUST-17209,Regular,Beauty & Health,Skincare,PRD-1088,Supplier_A,1603.9,759.1,0,1603.9,4,3207.8,1518.2,1689.6,52.67,108.76,3,Bundle Deal,Debit Card,0,None,347,58,0,2.8,5.0,32,1.31
TXN-100007,2023-12-09,2023,12,Q4,STR-100,Express,Laguna,Website,EMP-1066,CUST-15087,VIP,Sports,Footwear,PRD-1042,Supplier_I,2041.27,1021.17,50,1020.63,4,1020.63,1021.17,-0.54,-0.05,282.22,10,Flash Sale,Bank Transfer,1,Late Delivery,272,32,0,4.8,,20,156.22
TXN-100008,2023-08-12,2023,8,Q3,STR-109,Online,Cagayan de Oro,Third-Party Platform,EMP-1009,CUST-19511,Regular,Automotive,Parts,PRD-1094,Supplier_I,1866.36,1198.28,50,933.18,4,3732.72,4793.12,-1060.4,-28.41,250.16,7,Buy1Get1,Bank Transfer,0,None,10,26,1,3.4,0.0,37,360.26
TXN-100009,2024-07-03,2024,7,Q3,STR-112,Superstore,Batangas,Third-Party Platform,EMP-1053,CUST-19205,At-Risk,Beauty & Health,Haircare,PRD-1064,Supplier_D,328.89,202.21,0,328.89,1,328.89,202.21,126.68,38.52,144.33,2,None,Debit Card,0,None,355,64,0,3.6,,3,11.39
TXN-100010,2024-12-24,2024,12,Q4,STR-103,Kiosk,Cagayan de Oro,Website,EMP-1042,CUST-18095,Regular,Beauty & Health,Pharmacy,PRD-1145,Supplier_K,1424.02,946.74,50,712.01,5,2848.04,3786.96,-938.92,-32.97,262.84,14,Buy1Get1,Cash,0,None,267,20,0,4.6,10.0,28,16.47
TXN-100011,2023-04-16,2023,4,Q2,STR-114,Online,Laguna,Third-Party Platform,EMP-1007,CUST-16843,New,Beauty & Health,Skincare,PRD-1043,Supplier_E,10545.75,7834.81,20,8436.6,1,8436.6,7834.81,601.79,7.13,226.32,3,Percent Discount,GCash,0,None,149,30,0,3.0,3.0,84,202.46
